1,2020-02-15,1,0
1,2020-02-16,1,0
1,2020-02-17,0,0
1,2020-02-18,0,0
1,2020-02-19,0,0
1,2020-02-20,0,0
1,2020-02-21,0,0
1,2020-02-22,1,0
1,2020-02-23,1,0
1,2020-02-24,0,0
1,2020-02-25,0,0
1,2020-02-26,0,0
1,2020-02-27,0,0
1,2020-02-28,0,0
1,2020-02-29,1,0
1,2020-03-01,1,0
1,2020-03-02,0,0
1,2020-03-03,0,0
1,2020-03-04,1,0
1,2020-03-05,1,0
1,2020-03-06,1,0
1,2020-03-07,1,0
1,2020-03-08,1,0
1,2020-03-09,1,1
1,2020-03-10,1,1
1,2020-03-11,1,1
1,2020-03-12,1,1
1,2020-03-13,1,1
1,2020-03-14,1,1
1,2020-03-15,1,1
1,2020-03-16,1,1
1,2020-03-17,1,1
1,2020-03-18,1,1
1,2020-03-19,1,1
1,2020-03-20,1,1
1,2020-03-21,1,1
